Latitude (decimal degrees):	45.752
Longitude (decimal degrees):	4.949
Elevation (m):	195
Radiation database:	PVGIS-SARAH2


Slope: 37 deg. (optimum)
Azimuth: -2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20180104:1210,55.24,81.62,21.27,13.01,2.83,0.0
20180104:1310,10.8,24.76,18.81,13.83,2.76,0.0
20180104:1410,35.67,57.78,13.95,13.45,2.97,0.0
20180104:1510,19.44,36.74,7.16,12.93,3.1,0.0
20180104:1610,0.0,0.0,0.0,12.55,3.03,0.0
20180104:1710,0.0,0.0,0.0,12.17,2.83,0.0
20180104:1810,0.0,0.0,0.0,11.85,3.03,0.0
20180104:1910,0.0,0.0,0.0,12.02,2.83,0.0
20180104:2010,0.0,0.0,0.0,11.61,3.17,0.0
20180104:2110,0.0,0.0,0.0,11.46,3.38,0.0
20180104:2210,0.0,0.0,0.0,11.45,3.38,0.0
20180104:2310,0.0,0.0,0.0,11.39,3.03,0.0
20180105:0010,0.0,0.0,0.0,11.23,3.17,0.0
20180105:0110,0.0,0.0,0.0,11.05,3.38,0.0
20180105:0210,0.0,0.0,0.0,10.69,3.31,0.0
20180105:0310,0.0,0.0,0.0,10.64,3.17,0.0
20180105:0410,0.0,0.0,0.0,10.66,3.1,0.0
20180105:0510,0.0,0.0,0.0,10.66,3.03,0.0
20180105:0610,0.0,0.0,0.0,10.68,3.03,0.0
20180105:0710,0.0,0.0,0.0,10.78,3.31,0.0
20180105:0810,12.25,26.6,6.08,10.92,3.31,0.0
20180105:0910,21.64,39.44,13.13,11.31,3.17,0.0
20180105:1010,107.62,141.75,18.32,11.87,3.17,0.0
20180105:1110,45.48,69.7,21.17,12.76,3.59,0.0
20180105:1210,88.58,121.04,21.39,13.45,3.24,0.0
20180105:1310,29.1,49.52,18.94,13.77,3.1,0.0
20180105:1410,27.68,47.69,14.09,13.69,3.17,0.0
20180105:1510,6.62,18.34,7.3,13.23,2.62,0.0
20180105:1610,0.0,0.0,0.0,12.09,2.34,0.0
20180105:1710,0.0,0.0,0.0,11.09,2.21,0.0
20180105:1810,0.0,0.0,0.0,10.68,1.93,0.0
20180105:1910,0.0,0.0,0.0,9.82,1.66,0.0
20180105:2010,0.0,0.0,0.0,9.26,1.52,0.0
20180105:2110,0.0,0.0,0.0,9.4,1.17,0.0
20180105:2210,0.0,0.0,0.0,9.98,0.83,0.0
20180105:2310,0.0,0.0,0.0,10.17,0.48,0.0
20180106:0010,0.0,0.0,0.0,9.79,0.48,0.0
20180106:0110,0.0,0.0,0.0,9.42,0.55,0.0
20180106:0210,0.0,0.0,0.0,8.94,0.62,0.0
20180106:0310,0.0,0.0,0.0,8.4,0.76,0.0
20180106:0410,0.0,0.0,0.0,7.75,0.97,0.0
20180106:0510,0.0,0.0,0.0,7.48,1.24,0.0
20180106:0610,0.0,0.0,0.0,8.13,1.86,0.0
20180106:0710,0.0,0.0,0.0,8.34,2.69,0.0
20180106:0810,216.47,263.49,6.12,8.73,3.45,0.0
20180106:0910,456.7,535.08,13.19,9.63,4.07,0.0
20180106:1010,575.2,679.84,18.4,11.13,4.34,0.0
20180106:1110,381.17,452.72,21.28,12.28,4.0,0.0
20180106:1210,672.85,810.86,21.51,13.16,4.21,0.0
20180106:1310,579.5,692.86,19.07,13.65,4.55,0.0
20180106:1410,208.07,255.71,14.24,13.71,4.62,0.0
20180106:1510,57.01,83.63,7.45,13.16,4.34,0.0
20180106:1610,0.0,0.0,0.0,12.46,3.86,0.0
20180106:1710,0.0,0.0,0.0,11.55,3.17,0.0
20180106:1810,0.0,0.0,0.0,10.6,2.14,0.0
20180106:1910,0.0,0.0,0.0,9.22,1.38,0.0
20180106:2010,0.0,0.0,0.0,8.19,1.38,0.0
20180106:2110,0.0,0.0,0.0,7.92,1.17,0.0
20180106:2210,0.0,0.0,0.0,8.95,0.69,0.0
20180106:2310,0.0,0.0,0.0,8.9,0.07,0.0
20180107:0010,0.0,0.0,0.0,8.54,0.55,0.0
20180107:0110,0.0,0.0,0.0,7.64,0.69,0.0
20180107:0210,0.0,0.0,0.0,6.81,1.03,0.0
20180107:0310,0.0,0.0,0.0,6.15,1.24,0.0
20180107:0410,0.0,0.0,0.0,6.41,1.17,0.0
20180107:0510,0.0,0.0,0.0,6.27,1.03,0.0
20180107:0610,0.0,0.0,0.0,6.08,0.9,0.0
20180107:0710,0.0,0.0,0.0,5.5,0.9,0.0
20180107:0810,24.56,42.33,6.17,5.52,0.97,0.0
20180107:0910,25.04,43.1,13.26,6.38,0.83,0.0
20180107:1010,72.46,100.14,18.49,7.77,0.97,0.0
20180107:1110,101.41,133.99,21.39,9.01,0.97,0.0
20180107:1210,73.07,101.8,21.64,9.89,1.03,0.0
20180107:1310,82.56,112.98,19.22,10.42,0.9,0.0
20180107:1410,79.74,109.47,14.39,10.7,1.03,0.0
20180107:1510,70.54,98.92,7.61,10.47,1.24,0.0
20180107:1610,0.0,0.0,0.0,9.47,1.72,0.0
20180107:1710,0.0,0.0,0.0,8.13,1.86,0.0
20180107:1810,0.0,0.0,0.0,6.68,1.72,0.0
20180107:1910,0.0,0.0,0.0,5.85,1.45,0.0
20180107:2010,0.0,0.0,0.0,5.49,1.31,0.0
20180107:2110,0.0,0.0,0.0,5.69,1.1,0.0
20180107:2210,0.0,0.0,0.0,5.22,1.03,0.0
20180107:2310,0.0,0.0,0.0,4.91,1.1,0.0
20180108:0010,0.0,0.0,0.0,4.22,1.17,0.0
20180108:0110,0.0,0.0,0.0,3.35,1.31,0.0
20180108:0210,0.0,0.0,0.0,3.0,1.24,0.0
20180108:0310,0.0,0.0,0.0,2.47,1.31,0.0
20180108:0410,0.0,0.0,0.0,2.56,1.24,0.0
20180108:0510,0.0,0.0,0.0,2.42,1.24,0.0
20180108:0610,0.0,0.0,0.0,2.75,1.1,0.0
20180108:0710,0.0,0.0,0.0,3.13,1.1,0.0
20180108:0810,18.89,34.81,6.22,3.64,0.83,0.0
20180108:0910,51.06,74.06,13.33,4.37,0.83,0.0
20180108:1010,405.23,479.2,18.59,6.47,0.69,0.0
20180108:1110,491.39,591.5,21.51,8.22,0.55,0.0
20180108:1210,38.52,60.53,21.78,9.62,0.76,0.0
20180108:1310,445.92,536.99,19.37,10.35,0.97,0.0
20180108:1410,84.85,115.38,14.55,10.62,0.83,0.0
20180108:1510,35.14,56.55,7.77,10.45,0.21,0.0
20180108:1610,0.0,0.0,0.0,9.53,0.62,0.0
20180108:1710,0.0,0.0,0.0,9.04,0.62,0.0
20180108:1810,0.0,0.0,0.0,7.37,1.1,0.0
20180108:1910,0.0,0.0,0.0,5.26,1.59,0.0
20180108:2010,0.0,0.0,0.0,4.54,1.45,0.0
20180108:2110,0.0,0.0,0.0,4.12,1.24,0.0
20180108:2210,0.0,0.0,0.0,3.76,1.45,0.0
20180108:2310,0.0,0.0,0.0,4.26,1.38,0.0
20180109:0010,0.0,0.0,0.0,4.73,0.76,0.0
20180109:0110,0.0,0.0,0.0,4.72,0.76,0.0
20180109:0210,0.0,0.0,0.0,3.46,1.17,0.0
20180109:0310,0.0,0.0,0.0,2.42,1.31,0.0
20180109:0410,0.0,0.0,0.0,1.75,1.17,0.0
20180109:0510,0.0,0.0,0.0,0.97,1.24,0.0
20180109:0610,0.0,0.0,0.0,1.02,1.38,0.0
20180109:0710,0.0,0.0,0.0,2.81,1.52,0.0
20180109:0810,36.86,57.03,6.28,3.5,1.45,0.0
20180109:0910,33.41,53.19,13.42,4.73,1.03,0.0
20180109:1010,25.13,43.1,18.69,5.78,1.38,0.0
20180109:1110,83.15,111.83,21.63,6.93,2.48,0.0
20180109:1210,57.66,82.54,21.92,7.32,4.07,0.0
20180109:1310,93.08,123.12,19.53,7.84,4.62,0.0
20180109:1410,73.47,100.8,14.72,8.21,4.9,0.0
20180109:1510,48.9,72.46,7.94,8.5,5.03,0.0
20180109:1610,0.0,0.0,0.0,8.33,4.41,0.0
20180109:1710,0.0,0.0,0.0,7.86,4.28,0.0
20180109:1810,0.0,0.0,0.0,7.79,4.41,0.0
20180109:1910,0.0,0.0,0.0,7.77,4.48,0.0
20180109:2010,0.0,0.0,0.0,7.66,4.83,0.0
20180109:2110,0.0,0.0,0.0,7.49,4.97,0.0
20180109:2210,0.0,0.0,0.0,7.06,4.83,0.0
20180109:2310,0.0,0.0,0.0,6.82,4.69,0.0
20180110:0010,0.0,0.0,0.0,6.76,4.62,0.0
20180110:0110,0.0,0.0,0.0,6.94,4.62,0.0
20180110:0210,0.0,0.0,0.0,7.16,4.48,0.0
20180110:0310,0.0,0.0,0.0,7.23,4.28,0.0
20180110:0410,0.0,0.0,0.0,7.34,3.79,0.0
20180110:0510,0.0,0.0,0.0,7.33,3.45,0.0
20180110:0610,0.0,0.0,0.0,7.34,3.24,0.0
20180110:0710,0.0,0.0,0.0,7.61,3.52,0.0
20180110:0810,11.81,25.68,6.35,7.79,3.38,0.0
20180110:0910,32.91,53.19,13.5,8.11,3.31,0.0
20180110:1010,82.84,112.22,18.8,8.86,2.9,0.0
20180110:1110,102.28,134.78,21.77,9.65,3.24,0.0
20180110:1210,374.0,441.45,22.08,10.35,3.59,0.0
20180110:1310,75.46,104.56,19.69,10.81,3.45,0.0
20180110:1410,370.51,439.84,14.89,10.38,2.55,0.0
20180110:1510,44.34,67.56,8.11,10.1,2.55,0.0
20180110:1610,0.0,0.0,0.0,9.22,2.34,0.0
20180110:1710,0.0,0.0,0.0,8.24,2.21,0.0
20180110:1810,0.0,0.0,0.0,6.93,2.28,0.0
20180110:1910,0.0,0.0,0.0,6.28,1.93,0.0
20180110:2010,0.0,0.0,0.0,5.14,1.79,0.0
20180110:2110,0.0,0.0,0.0,4.28,1.66,0.0
20180110:2210,0.0,0.0,0.0,3.49,1.59,0.0
20180110:2310,0.0,0.0,0.0,2.98,1.52,0.0
20180111:0010,0.0,0.0,0.0,2.79,1.31,0.0
20180111:0110,0.0,0.0,0.0,2.39,1.31,0.0
20180111:0210,0.0,0.0,0.0,2.1,1.24,0.0
20180111:0310,0.0,0.0,0.0,1.74,1.17,0.0
20180111:0410,0.0,0.0,0.0,1.48,1.17,0.0
20180111:0510,0.0,0.0,0.0,1.6,1.03,0.0
20180111:0610,0.0,0.0,0.0,1.5,1.03,0.0
20180111:0710,0.0,0.0,0.0,1.98,0.97,0.0
20180111:0810,221.79,264.18,6.42,1.99,1.03,0.0
20180111:0910,328.15,381.84,13.6,3.12,0.83,0.0
20180111:1010,625.88,750.77,18.92,6.09,1.1,0.0
20180111:1110,620.13,743.32,21.91,7.72,1.72,0.0
20180111:1210,663.89,792.78,22.24,8.73,2.83,0.0
20180111:1310,390.55,457.73,19.86,9.17,3.66,0.0
20180111:1410,415.35,486.58,15.06,9.05,3.66,0.0
20180111:1510,273.4,328.33,8.29,8.65,3.24,0.0
20180111:1610,0.0,0.0,0.0,7.84,2.97,0.0
20180111:1710,0.0,0.0,0.0,6.8,2.9,0.0
20180111:1810,0.0,0.0,0.0,6.12,2.9,0.0
20180111:1910,0.0,0.0,0.0,5.8,2.9,0.0
20180111:2010,0.0,0.0,0.0,5.47,2.97,0.0
20180111:2110,0.0,0.0,0.0,5.14,2.97,0.0
20180111:2210,0.0,0.0,0.0,4.91,2.97,0.0
20180111:2310,0.0,0.0,0.0,4.66,2.83,0.0
20180112:0010,0.0,0.0,0.0,4.32,2.62,0.0
20180112:0110,0.0,0.0,0.0,3.98,2.55,0.0
20180112:0210,0.0,0.0,0.0,3.82,2.69,0.0
20180112:0310,0.0,0.0,0.0,3.83,2.76,0.0
20180112:0410,0.0,0.0,0.0,3.81,2.62,0.0
20180112:0510,0.0,0.0,0.0,3.9,2.48,0.0
20180112:0610,0.0,0.0,0.0,3.83,2.62,0.0
20180112:0710,0.0,0.0,0.0,3.3,2.62,0.0
20180112:0810,14.12,28.43,6.5,3.28,2.62,0.0
20180112:0910,44.3,66.03,13.7,4.08,2.21,0.0
20180112:1010,115.24,146.45,19.04,5.51,3.79,0.0
20180112:1110,71.39,98.13,22.05,6.53,4.0,0.0
20180112:1210,101.76,132.81,22.4,7.23,3.93,0.0
20180112:1310,109.42,141.54,20.04,7.92,3.86,0.0
20180112:1410,44.27,66.95,15.25,8.04,3.79,0.0
20180112:1510,101.1,132.28,8.47,7.67,3.1,0.0
20180112:1610,0.0,0.0,0.0,7.05,2.97,0.0
20180112:1710,0.0,0.0,0.0,6.27,2.76,0.0
20180112:1810,0.0,0.0,0.0,5.61,2.62,0.0
20180112:1910,0.0,0.0,0.0,5.21,2.41,0.0
20180112:2010,0.0,0.0,0.0,4.67,2.41,0.0
20180112:2110,0.0,0.0,0.0,3.98,2.28,0.0
20180112:2210,0.0,0.0,0.0,3.27,2.07,0.0
20180112:2310,0.0,0.0,0.0,2.7,1.72,0.0
20180113:0010,0.0,0.0,0.0,2.61,1.31,0.0
20180113:0110,0.0,0.0,0.0,3.07,1.03,0.0
20180113:0210,0.0,0.0,0.0,3.23,0.9,0.0
20180113:0310,0.0,0.0,0.0,3.28,0.76,0.0
20180113:0410,0.0,0.0,0.0,3.39,0.41,0.0
20180113:0510,0.0,0.0,0.0,3.03,0.21,0.0
20180113:0610,0.0,0.0,0.0,2.12,0.55,0.0
20180113:0710,0.0,0.0,0.0,0.6,0.83,0.0
20180113:0810,58.83,82.14,6.59,1.27,0.48,0.0
20180113:0910,89.32,116.42,13.81,2.11,0.41,0.0
20180113:1010,237.88,280.38,19.18,3.19,0.97,0.0
20180113:1110,546.24,640.81,22.21,4.64,1.59,0.0
20180113:1210,722.32,860.61,22.57,6.22,2.55,0.0
20180113:1310,640.16,757.86,20.23,7.6,2.83,0.0
20180113:1410,506.94,596.07,15.43,8.74,3.17,0.0
20180113:1510,331.07,395.77,8.66,9.05,3.17,0.0
20180113:1610,0.0,0.0,0.0,8.11,3.24,0.0
20180113:1710,0.0,0.0,0.0,7.03,3.17,0.0
20180113:1810,0.0,0.0,0.0,6.33,3.24,0.0
20180113:1910,0.0,0.0,0.0,5.75,3.17,0.0
20180113:2010,0.0,0.0,0.0,5.24,3.03,0.0
20180113:2110,0.0,0.0,0.0,4.72,2.69,0.0
20180113:2210,0.0,0.0,0.0,4.03,2.48,0.0
20180113:2310,0.0,0.0,0.0,3.47,2.28,0.0
20180114:0010,0.0,0.0,0.0,2.75,2.07,0.0
20180114:0110,0.0,0.0,0.0,2.6,1.79,0.0
20180114:0210,0.0,0.0,0.0,2.08,1.72,0.0
20180114:0310,0.0,0.0,0.0,2.19,1.59,0.0
20180114:0410,0.0,0.0,0.0,2.07,1.52,0.0
20180114:0510,0.0,0.0,0.0,2.04,1.45,0.0
20180114:0610,0.0,0.0,0.0,1.94,1.38,0.0
20180114:0710,0.0,0.0,0.0,2.13,1.38,0.0
20180114:0810,31.44,50.27,6.68,2.3,1.45,0.0
20180114:0910,92.52,120.54,13.92,3.78,1.24,0.0
20180114:1010,387.57,455.23,19.31,6.11,1.17,0.0
20180114:1110,396.81,468.71,22.37,7.59,1.45,0.0
20180114:1210,719.98,877.64,22.75,8.58,1.79,0.0
20180114:1310,585.05,700.1,20.42,9.17,2.07,0.0
20180114:1410,528.78,630.52,15.63,9.26,2.0,0.0
20180114:1510,195.73,240.9,8.85,8.94,1.79,0.0
20180114:1610,0.0,0.0,0.0,7.94,1.66,0.0
20180114:1710,0.0,0.0,0.0,6.33,1.45,0.0
20180114:1810,0.0,0.0,0.0,5.3,1.24,0.0
20180114:1910,0.0,0.0,0.0,5.31,0.41,0.0
20180114:2010,0.0,0.0,0.0,5.15,0.34,0.0
20180114:2110,0.0,0.0,0.0,3.75,1.17,0.0
20180114:2210,0.0,0.0,0.0,2.6,1.31,0.0
20180114:2310,0.0,0.0,0.0,2.04,1.24,0.0
20180115:0010,0.0,0.0,0.0,1.32,1.24,0.0
20180115:0110,0.0,0.0,0.0,1.16,1.24,0.0
20180115:0210,0.0,0.0,0.0,1.0,1.24,0.0
20180115:0310,0.0,0.0,0.0,0.81,1.31,0.0
20180115:0410,0.0,0.0,0.0,0.39,1.45,0.0
20180115:0510,0.0,0.0,0.0,0.2,1.52,0.0
20180115:0610,0.0,0.0,0.0,-0.13,1.72,0.0
20180115:0710,0.0,0.0,0.0,0.69,1.72,0.0
20180115:0810,227.63,268.18,6.78,0.71,1.93,0.0
20180115:0910,316.6,366.26,14.05,3.46,2.07,0.0
20180115:1010,336.87,393.6,19.46,6.62,2.55,0.0
20180115:1110,659.12,781.41,22.54,8.53,3.38,0.0
20180115:1210,498.62,583.77,22.94,9.3,4.14,0.0
20180115:1310,133.12,169.06,20.61,9.85,4.62,0.0
20180115:1410,242.47,290.11,15.82,9.78,4.14,0.0
20180115:1510,58.61,84.15,9.04,9.33,4.14,0.0
20180115:1610,0.0,0.0,0.0,8.7,3.93,0.0
20180115:1710,0.0,0.0,0.0,7.94,4.41,0.0
20180115:1810,0.0,0.0,0.0,7.54,5.17,0.0
20180115:1910,0.0,0.0,0.0,7.46,5.59,0.0
20180115:2010,0.0,0.0,0.0,6.88,5.86,0.0
20180115:2110,0.0,0.0,0.0,6.68,5.86,0.0
20180115:2210,0.0,0.0,0.0,6.46,5.86,0.0
20180115:2310,0.0,0.0,0.0,6.33,5.72,0.0
20180116:0010,0.0,0.0,0.0,6.36,5.66,0.0
20180116:0110,0.0,0.0,0.0,6.29,5.59,0.0
20180116:0210,0.0,0.0,0.0,6.44,5.45,0.0
20180116:0310,0.0,0.0,0.0,6.51,5.31,0.0
20180116:0410,0.0,0.0,0.0,6.5,5.1,0.0
20180116:0510,0.0,0.0,0.0,6.62,4.97,0.0
20180116:0610,0.0,0.0,0.0,6.75,4.97,0.0
20180116:0710,0.0,0.0,0.0,7.65,4.97,0.0
20180116:0810,33.37,53.63,6.89,7.85,4.83,0.0
20180116:0910,35.93,56.86,14.17,8.07,4.28,0.0
20180116:1010,91.06,121.26,19.61,8.56,4.0,0.0
20180116:1110,100.06,131.83,22.71,8.92,3.86,0.0
20180116:1210,136.59,173.41,23.13,9.51,2.9,0.0
20180116:1310,41.48,64.2,20.81,10.3,3.03,0.0
20180116:1410,22.47,40.35,16.03,10.22,3.59,0.0
20180116:1510,78.47,107.44,9.25,9.91,3.59,0.0
20180116:1610,0.0,0.0,0.0,9.24,3.45,0.0
20180116:1710,0.0,0.0,0.0,9.03,3.38,0.0
20180116:1810,0.0,0.0,0.0,8.88,3.24,0.0
20180116:1910,0.0,0.0,0.0,9.33,2.69,0.0
20180116:2010,0.0,0.0,0.0,9.2,2.83,0.0
20180116:2110,0.0,0.0,0.0,8.9,2.28,0.0
20180116:2210,0.0,0.0,0.0,8.19,2.48,0.0
20180116:2310,0.0,0.0,0.0,7.39,2.14,0.0
20180117:0010,0.0,0.0,0.0,7.03,2.76,0.0
20180117:0110,0.0,0.0,0.0,6.81,3.1,0.0
20180117:0210,0.0,0.0,0.0,6.63,3.24,0.0
20180117:0310,0.0,0.0,0.0,5.99,4.69,0.0
20180117:0410,0.0,0.0,0.0,5.51,4.76,0.0
20180117:0510,0.0,0.0,0.0,4.88,4.83,0.0
20180117:0610,0.0,0.0,0.0,4.43,4.69,0.0
20180117:0710,0.0,0.0,0.0,4.36,3.72,0.0
20180117:0810,258.92,305.72,7.0,4.46,4.07,0.0
20180117:0910,82.6,109.7,14.31,5.03,4.55,0.0
20180117:1010,649.87,746.81,19.77,5.81,5.52,0.0
20180117:1110,16.59,32.1,22.9,6.61,6.07,0.0
20180117:1210,451.55,518.63,23.33,6.93,5.93,0.0
20180117:1310,95.58,125.48,21.02,6.94,5.52,0.0
20180117:1410,173.95,211.25,16.24,7.16,5.24,0.0
20180117:1510,111.45,143.22,9.45,6.95,4.07,0.0
20180117:1610,0.0,0.0,0.0,6.28,2.9,0.0
20180117:1710,0.0,0.0,0.0,5.06,1.93,0.0
20180117:1810,0.0,0.0,0.0,4.16,1.38,0.0
20180117:1910,0.0,0.0,0.0,4.14,0.97,0.0
20180117:2010,0.0,0.0,0.0,2.39,1.45,0.0
20180117:2110,0.0,0.0,0.0,1.65,2.0,0.0
20180117:2210,0.0,0.0,0.0,1.41,2.14,0.0
20180117:2310,0.0,0.0,0.0,1.77,2.14,0.0
20180118:0010,0.0,0.0,0.0,2.69,2.21,0.0
20180118:0110,0.0,0.0,0.0,3.04,2.28,0.0
20180118:0210,0.0,0.0,0.0,3.52,2.41,0.0
20180118:0310,0.0,0.0,0.0,4.04,2.62,0.0
20180118:0410,0.0,0.0,0.0,4.22,3.03,0.0
20180118:0510,0.0,0.0,0.0,4.5,3.31,0.0
20180118:0610,0.0,0.0,0.0,4.61,3.59,0.0
20180118:0710,0.0,0.0,0.0,4.9,3.59,0.0
20180118:0810,137.41,171.47,7.12,5.21,3.72,0.0
20180118:0910,52.97,76.54,14.45,5.87,3.79,0.0
20180118:1010,49.94,73.37,19.94,6.87,3.72,0.0
20180118:1110,43.58,66.03,23.09,7.65,3.45,0.0
20180118:1210,24.18,42.19,23.53,7.86,3.31,0.0
20180118:1310,33.64,54.11,21.23,8.14,2.97,0.0
20180118:1410,34.44,55.03,16.45,7.86,3.03,0.0
20180118:1510,31.52,51.37,9.66,7.75,3.24,0.0
20180118:1610,0.0,0.0,0.0,7.55,3.31,0.0
20180118:1710,0.0,0.0,0.0,7.5,3.45,0.0
20180118:1810,0.0,0.0,0.0,7.53,3.52,0.0
20180118:1910,0.0,0.0,0.0,7.67,3.31,0.0
20180118:2010,0.0,0.0,0.0,7.8,3.38,0.0
20180118:2110,0.0,0.0,0.0,7.86,3.52,0.0
20180118:2210,0.0,0.0,0.0,7.93,3.59,0.0
20180118:2310,0.0,0.0,0.0,7.97,3.52,0.0
20180119:0010,0.0,0.0,0.0,7.98,3.31,0.0
20180119:0110,0.0,0.0,0.0,8.01,2.48,0.0
20180119:0210,0.0,0.0,0.0,7.29,1.86,0.0
20180119:0310,0.0,0.0,0.0,6.6,1.52,0.0
20180119:0410,0.0,0.0,0.0,5.97,1.86,0.0
20180119:0510,0.0,0.0,0.0,5.29,1.79,0.0
20180119:0610,0.0,0.0,0.0,4.35,1.79,0.0
20180119:0710,0.0,0.0,0.0,4.5,1.38,0.0
20180119:0810,24.76,42.33,7.25,3.94,1.38,0.0
